LineId,Date,Time,Pid,Level,Component,Content,EventId,EventTemplate,SequenceID,BlockId,HasBlockId,ContentLength,TokenCount,Label,HasGroundTruth,EventTemplateCode,TemplateFrequency,ComponentFrequency,LevelFrequency,BlockFrequency,IsRareTemplate,PrevSameTemplate,PrevSameComponent,WindowTemplateUniques,SequenceDelta,anomaly_score,anomaly_threshold,is_anomaly,rank,dbscan_is_anomaly,detector_agreement
1,81109,203615,148,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_38865049064139660 terminating,E10,PacketResponder <*> for block blk_<*> terminating,0,blk_38865049064139660,1,61,6,Unknown,0,9,311,603,1920,1,0,0,0,1.0,0.0,0.33032997177568385,0.3595655632374373,0,1470,1,0
2,81109,203807,222,INFO,dfs.DataNode$PacketResponder,PacketResponder 0 for block blk_-6952295868487656571 terminating,E10,PacketResponder <*> for block blk_<*> terminating,1,blk_-6952295868487656571,1,64,6,Unknown,0,9,311,603,1920,1,0,1,1,1.0,1.0,0.3319254657196269,0.3595655632374373,0,1324,1,0
3,81109,204005,35,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.73.220:50010 is added to blk_7128370237687728475 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,2,blk_7128370237687728475,1,121,11,Unknown,0,3,314,659,1920,1,0,0,0,2.0,1.0,0.34178043414480463,0.3595655632374373,0,778,1,0
4,81109,204015,308,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_8229193803249955061 terminating,E10,PacketResponder <*> for block blk_<*> terminating,3,blk_8229193803249955061,1,63,6,Unknown,0,9,311,603,1920,1,0,0,0,2.0,1.0,0.328169569250346,0.3595655632374373,0,1718,1,0
5,81109,204106,329,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_-6670958622368987959 terminating,E10,PacketResponder <*> for block blk_<*> terminating,4,blk_-6670958622368987959,1,64,6,Unknown,0,9,311,603,1920,1,0,1,1,2.0,1.0,0.3308310541738624,0.3595655632374373,0,1405,1,0
6,81109,204132,26,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.43.115:50010 is added to blk_3050920587428079149 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,5,blk_3050920587428079149,1,121,11,Unknown,0,3,314,659,1920,1,0,0,0,2.0,1.0,0.3406813450061872,0.3595655632374373,0,856,1,0
7,81109,204324,34,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.203.80:50010 is added to blk_7888946331804732825 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,6,blk_7888946331804732825,1,121,11,Unknown,0,3,314,659,1920,1,0,1,1,2.0,1.0,0.34283114339580756,0.3595655632374373,0,703,1,0
8,81109,204453,34,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.11.85:50010 is added to blk_2377150260128098806 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,7,blk_2377150260128098806,1,120,11,Unknown,0,3,314,659,1920,1,0,1,1,2.0,1.0,0.35084114209937906,0.3595655632374373,0,270,1,0
9,81109,204525,512,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_572492839287299681 terminating,E10,PacketResponder <*> for block blk_<*> terminating,8,blk_572492839287299681,1,62,6,Unknown,0,9,311,603,1920,1,0,0,0,2.0,1.0,0.3290346426784164,0.3595655632374373,0,1610,1,0
10,81109,204655,556,INFO,dfs.DataNode$PacketResponder,Received block blk_3587508140051953248 of size 67108864 from /10.251.42.84,E11,Received block blk_<*> of size <*> from /<*>,9,blk_3587508140051953248,1,74,8,Unknown,0,10,292,603,1920,1,0,0,1,3.0,1.0,0.33463678509145556,0.3595655632374373,0,1146,1,0
