LineId,Date,Time,Pid,Level,Component,Content,EventId,EventTemplate,SequenceID,BlockId,HasBlockId,ContentLength,TokenCount,Label,HasGroundTruth,EventTemplateCode,TemplateFrequency,ComponentFrequency,LevelFrequency,BlockFrequency,IsRareTemplate,PrevSameTemplate,PrevSameComponent,WindowTemplateUniques,SequenceDelta,anomaly_score,anomaly_threshold,is_anomaly,rank,dbscan_is_anomaly,detector_agreement
296,81110,30331,6561,WARN,dfs.DataNode$DataXceiver,10.251.42.191:50010:Got exception while serving blk_-8023826090828946372 to /10.251.214.130:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,295,blk_-8023826090828946372,1,92,7,Unknown,0,2,80,454,80,1,1,0,1,8.0,1.0,0.379091337993699,0.3595655632374373,1,1,1,1
92,81109,221151,3361,WARN,dfs.DataNode$DataXceiver,10.250.10.144:50010:Got exception while serving blk_5126469776250053435 to /10.250.11.100:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,91,blk_5126469776250053435,1,90,7,Unknown,0,2,80,454,80,1,1,1,1,3.0,1.0,0.3770036745187397,0.3595655632374373,1,2,1,1
85,81109,215259,2934,WARN,dfs.DataNode$DataXceiver,10.250.9.207:50010:Got exception while serving blk_-3140754468249228022 to /10.250.9.207:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,84,blk_-3140754468249228022,1,89,7,Unknown,0,2,80,454,80,1,1,1,1,7.0,1.0,0.3731879046716444,0.3595655632374373,1,3,1,1
96,81109,222650,3459,WARN,dfs.DataNode$DataXceiver,10.251.214.112:50010:Got exception while serving blk_5905933788014151041 to /10.251.214.112:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,95,blk_5905933788014151041,1,92,7,Unknown,0,2,80,454,80,1,1,1,1,2.0,1.0,0.37305400985020937,0.3595655632374373,1,4,1,1
799,81110,192015,14269,WARN,dfs.DataNode$DataXceiver,10.250.10.223:50010:Got exception while serving blk_9095955277706686312 to /10.250.5.161:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,798,blk_9095955277706686312,1,89,7,Unknown,0,2,80,454,80,1,1,1,1,6.0,1.0,0.37268171326784316,0.3595655632374373,1,5,1,1
791,81110,175354,14021,WARN,dfs.DataNode$DataXceiver,10.250.11.53:50010:Got exception while serving blk_-7125370327234065733 to /10.250.15.240:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,790,blk_-7125370327234065733,1,90,7,Unknown,0,2,80,454,80,1,1,0,0,7.0,1.0,0.37203864995767916,0.3595655632374373,1,6,1,1
683,81110,125138,11558,WARN,dfs.DataNode$DataXceiver,10.251.42.246:50010:Got exception while serving blk_-3056652732896088330 to /10.251.27.63:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,682,blk_-3056652732896088330,1,90,7,Unknown,0,2,80,454,80,1,1,1,1,7.0,1.0,0.3719583857214706,0.3595655632374373,1,7,1,1
101,81109,224420,3666,WARN,dfs.DataNode$DataXceiver,10.251.73.188:50010:Got exception while serving blk_7517964792804498202 to /10.250.6.191:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,100,blk_7517964792804498202,1,89,7,Unknown,0,2,80,454,80,1,1,1,1,2.0,1.0,0.37163504598491376,0.3595655632374373,1,8,1,1
684,81110,125914,11536,WARN,dfs.DataNode$DataXceiver,10.250.13.188:50010:Got exception while serving blk_73389299186801686 to /10.251.123.33:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,683,blk_73389299186801686,1,88,7,Unknown,0,2,80,454,80,1,1,1,1,7.0,1.0,0.3715000433855256,0.3595655632374373,1,9,1,1
787,81110,163945,13711,WARN,dfs.DataNode$DataXceiver,10.251.30.101:50010:Got exception while serving blk_-5340885607150360719 to /10.251.30.101:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,786,blk_-5340885607150360719,1,91,7,Unknown,0,2,80,454,80,1,1,0,1,8.0,1.0,0.3714755805022785,0.3595655632374373,1,10,1,1
